t,v
1516030780,1728
1516030993,1706
1516031203,1660
1516031411,1760
1516031630,1712
1516031838,1787
1516032054,1775
1516032262,1727
1516032472,1689
1516032689,1811
1516032899,1724
1516033108,1745
1516033318,1810
1516033526,1698
1516043969,1695
1516044177,1808
1516044387,1738
1516044595,1676
1516044813,1782
1516045026,1790
1516045236,1814
1516045444,1680
1516045663,1778
1516045871,1685
1516046083,1744
1516046291,1732
1516046501,1695
1516046718,1808
1516046929,1721
1516047137,1751
1516057543,1734
1516057759,1657
1516057976,1655
1516058184,1760
1516058394,1717
1516058602,1777
1516058820,1814
1516059033,1739
1516059244,1712
1516059452,1790
1516059670,1813
1516059878,1809
1516060092,1735
1516060300,1664
1516060510,1793
1516070963,1674
1516071173,1805
1516071381,1712
1516071591,1691
1516071807,1808
1516072022,1794
1516072230,1719
1516072441,1679
1516072657,1812
1516072867,1728
1516073075,1733
1516073285,1808
1516073493,1708
1516073712,1670
1516073920,1735
1516074131,1706
1516084521,1712
1516084738,1697
1516084951,1680
1516085162,1759
1516085370,1729
1516085580,1690
1516085796,1810
1516086011,1775
1516086220,1728
1516086430,1687
1516086646,1813
1516086856,1730
1516087065,1765
1516087275,1812
1516087484,1692
1516097874,1747
1516098088,1730
1516098299,1694
1516098507,1808
1516098725,1737
1516098938,1733
1516099148,1705
1516099356,1805
1516099566,1810
1516099782,1680
1516099995,1817
1516100203,1679
1516100413,1764
1516100630,1725
1516100840,1682
1516101054,1744
1516111503,1679
1516111719,1815
1516111935,1811
1516112143,1697
1516112353,1687
1516112562,1739
1516112780,1713
1516112993,1697
1516113203,1698
1516113411,1735
1516113630,1695
1516113838,1808
1516114054,1801
1516114262,1715
1516114472,1678
1516114688,1813
1516125110,1687
1516125319,1810
1516125529,1733
1516125745,1715
1516125962,1727
1516126170,1734
1516126380,1702
1516126589,1808
1516126807,1739
1516127020,1728
1516127230,1691
1516127438,1809
1516127656,1744
1516127864,1654
1516128075,1792
1516138497,1770
1516138716,1813
1516138924,1655
1516139135,1791
1516139343,1718
1516139553,1671
1516139769,1815
1516139982,1675
1516140190,1816
1516140400,1728
1516140617,1769
1516140827,1814
1516141042,1729
1516141252,1687
1516141460,1810
1516141679,1728
1516152088,1657
1516152298,1795
1516152507,1717
1516152725,1675
1516152938,1678
1516153148,1786
1516153356,1723
1516153566,1685
1516153782,1811
1516153995,1675
1516154203,1813
1516154413,1729
1516154630,1750
1516154840,1813
1516155054,1734
1516165495,1814
1516165712,1680
1516165922,1779
1516166131,1728
1516166341,1687
1516166549,1810
1516166767,1733
1516166977,1808
1516167188,1735
1516167396,1655
1516167613,1771
1516167822,1729
1516168036,1814
1516168244,1689
1516168454,1727
1516168670,1735
1516179070,1744
1516179278,1734
1516179488,1699
1516179704,1808
1516179915,1730
1516180124,1691
1516180334,1806
1516180542,1710
1516180760,1658
1516180974,1758
1516181184,1811
1516181392,1693
1516181602,1714
1516181818,1735
1516182031,1671
1516192489,1732
1516192708,1695
1516192916,1813
1516193127,1734
1516193335,1686
1516193545,1803
1516193761,1716
1516193975,1761
1516194184,1671
1516194394,1781
1516194602,1723
1516194820,1681
1516195033,1653
1516195244,1793
1516195452,1713
1516195670,1679
1516206118,1781
1516206328,1814
1516206536,1680
1516206754,1738
1516206968,1792
1516207178,1815
1516207386,1679
1516207596,1795
1516207813,1718
1516208028,1745
1516208236,1675
1516208446,1772
1516208663,1723
1516208873,1732
1516209083,1733
1516209293,1701
1516219726,1729
1516219942,1754
1516220150,1730
1516220361,1689
1516220569,1808
1516220787,1735
1516221001,1696
1516221212,1680
1516221420,1737
1516221638,1712
1516221846,1790
1516222060,1682
1516222268,1812
1516222478,1731
1516222695,1747
1516233116,1814
1516233325,1683
1516233535,1748
1516233751,1733
1516233963,1733
1516234172,1733
1516234382,1703
1516234590,1737
1516234807,1809
1516235020,1814
1516235230,1722
1516235439,1758
1516235656,1808
1516235864,1694
1516236075,1675
1516236283,1739
1516246707,1807
1516246916,1692
1516247127,1711
1516247335,1734
1516247545,1703
1516247761,1797
1516247976,1659
1516248184,1741
1516248394,1712
1516248602,1783
1516248820,1814
1516249033,1737
1516249244,1712
1516249452,1787
1516249670,1815
1516260110,1715
1516260321,1679
1516260529,1815
1516260747,1728
1516260960,1719
1516261170,1679
1516261378,1814
1516261589,1823
1516261803,1680
1516262020,1673
1516262228,1813
1516262438,1723
1516262654,1746
1516262864,1809
1516263073,1697
1516263283,1698
1516273685,1787
1516273895,1694
1516274105,1801
